generation,population_size,best_total_fitness,avg_total_fitness,best_trace_score,avg_trace_score,best_overlap_score,avg_overlap_score,best_trace_length_mm,avg_trace_length_mm,best_overlap_penalty,avg_overlap_penalty,min_overlap_penalty,feasible_count,infeasible_count,feasible_ratio,diversity_all_mm,diversity_feasible_mm,diversity_infeasible_mm,trace_weight,overlap_weight,mutation_rate,sigma_xy_mm
62,50,0.9854262015552894,0.728030638384431,1.0,0.6582803915738984,0.9740495041938914,0.7824795490000607,675.8798549833367,1017.5550943108356,0.05707181993525333,0.4783834615129542,0.0,12,38,0.24,45.194608870678756,48.403114699761616,44.27206125046004,0.4384,0.5616,0.53344,19.791999999999998
63,50,0.9991661959692276,0.6542604034232382,1.0,0.5840782048828541,0.9985200496436415,0.7086472473755485,649.3206049354288,958.9902817311238,0.0033216962064,0.6539309436690419,0.0,10,40,0.2,43.52539302224735,43.3014826259184,43.50819631063149,0.4366,0.5634,0.53156,19.708
64,50,0.9777262993737204,0.6468145842798617,0.9509314874002969,0.5697862136101821,0.9983391518968,0.7060713704921348,649.3206049354288,998.7193401831696,0.0033216962064,0.5878572590157306,0.0,16,34,0.32,44.36184229297499,46.84707985357495,42.07640000146341,0.43479999999999996,0.5652,0.52968,19.624
65,50,0.9915465176726361,0.7061460896709509,0.9823452664276167,0.609610870948233,0.9985732227680391,0.7798669886249842,649.3206049354288,1045.823530187465,0.0033216962064,0.5124941528417899,0.0,19,31,0.38,45.50345037507792,45.50621197899781,45.582900659353186,0.43299999999999994,0.5670000000000001,0.5278,19.54
66,50,0.9992743042900414,0.6704339117336737,1.0,0.4801931792371711,0.9987241636604104,0.8146529761719508,649.3206049354288,1027.796812533518,0.0033216962064,0.4825591549737528,0.0,13,37,0.26,44.582430796455206,45.15688651567259,44.61509923572135,0.4312,0.5688,0.52592,19.456
67,50,0.9869662991110582,0.6929697391967866,0.9715034395293112,0.5336114695732596,0.9986027377798318,0.8128934002138608,649.3206049354288,1003.8250608323392,0.0033216962064,0.44480647492723757,0.0,18,32,0.36,43.740689653489106,44.83152288697015,42.66072263007118,0.4294,0.5706,0.5240400000000001,19.372
68,50,0.9992840147388058,0.6865424733893978,1.0,0.5870059241265748,0.9987491522341122,0.760899266654218,649.3206049354288,1002.8507693261315,0.0033216962064,0.6349453711007426,0.0,13,37,0.26,46.672232294846154,47.9390393266754,46.178425645019544,0.4276,0.5724,0.52216,19.288
69,50,0.9992872761896129,0.6686827872814637,1.0,0.5645289995589857,0.9987587533779396,0.7459183895319532,649.3206049354288,1004.542199220411,0.0033216962064,0.6799470037685071,0.0,14,36,0.28,45.94804215061105,46.21069825075478,46.01837574731115,0.42579999999999996,0.5742,0.52028,19.204
70,50,0.9918839608210639,0.6916945598175357,0.9833181878082367,0.6610798628445772,0.9981893215110617,0.7142303784226302,649.3206049354288,944.9730292296805,0.0033216962064,0.5242453995543228,0.0,14,36,0.28,44.056047389277445,43.10883087287011,43.031691343622214,0.42399999999999993,0.5760000000000001,0.5184,19.119999999999994
71,50,0.9814723879036215,0.7129929471358636,0.9578504246428389,0.5841463679719943,0.9987330194174713,0.8071414859433846,649.3206049354288,992.3254714189909,0.0033216962064,0.5056252663598186,0.0,22,28,0.44,45.86960249423986,46.2964585689339,44.863627545729166,0.4222,0.5778,0.5165200000000001,19.035999999999998
72,50,0.9988623849301699,0.7034534549109047,1.0,0.5406219659848605,0.9980372410803483,0.8215596625446331,649.3206049354288,1036.9930597161654,0.0033216962064,0.30198542778722626,0.0,26,24,0.52,47.368099380352035,47.917181470833846,46.983389968004424,0.4204,0.5796,0.51464,18.951999999999998
73,50,0.999437367392591,0.6756712686533786,1.0,0.4579204003678654,0.9990322796570192,0.8324488975909702,649.3206049354288,1102.0067356460922,0.0033216962064,0.5751184888145852,0.0,24,26,0.48,47.25124095715382,46.66456803585462,47.67856207797602,0.41859999999999997,0.5814,0.51276,18.868000000000002
74,50,0.9992220789811037,0.6927803243661821,1.0,0.5253818731854872,0.998666116222743,0.8124162544966924,649.3206049354288,1052.9245706521156,0.0033216962064,0.46712931549551323,0.0,20,30,0.4,49.546293503559646,49.06114755464241,49.44829068802117,0.41680000000000006,0.5831999999999999,0.51088,18.784
75,50,0.9992151006554527,0.6974525452639009,1.0,0.5660118265255494,0.9986582917187227,0.7906968158218766,649.3206049354288,1050.7636410158766,0.0033216962064,0.5181764192511378,0.0,15,35,0.3,50.08026184537026,48.431936950489096,49.35371035969258,0.41500000000000004,0.585,0.509,18.7
76,50,0.9935714554724175,0.707715695845299,0.9863377868746219,0.5825810364284997,0.9986651021401222,0.7958302856050494,649.3206049354288,1056.393846750859,0.0033216962064,0.5080461855182913,0.0,20,30,0.4,46.41195673593794,49.25349635329254,44.49144950208902,0.4132,0.5868,0.50712,18.616
77,50,0.9670879795358529,0.7063013715125855,0.9218446260270673,0.5913394194425069,0.9987106700447119,0.7866536431429464,649.3206049354288,977.9249824293886,0.0033216962064,0.5496434650531129,0.0,14,36,0.28,43.44688847616389,43.415636885923334,43.432115044476085,0.4114,0.5886,0.50524,18.532
78,50,0.9826712996162863,0.7231471471902415,0.9596005165201797,0.6250874407234583,0.9986770461545065,0.7911777294544596,649.3206049354288,960.9511593210093,0.0033216962064,0.5243146964240332,0.0,13,37,0.26,40.87011764467439,44.686426812976244,38.31130670108055,0.40959999999999996,0.5904,0.50336,18.448
79,50,0.9992425666480298,0.712017088642403,1.0,0.5815553792634203,0.9987209838703645,0.8018554626456945,649.3206049354288,1000.1280391680215,0.0033216962064,0.5145955104070699,0.0,16,34,0.32,41.52714669437296,38.61699753780983,42.10008962801973,0.40779999999999994,0.5922000000000001,0.50148,18.364
80,50,0.9432211916808715,0.6140898173570235,0.8625424729790052,0.44024863029996825,0.9983652317363558,0.7329105613724519,649.3206049354288,997.1659215939197,0.0033216962064,0.5427007575256847,0.0,17,33,0.34,42.114232785871835,43.639893951831915,41.228888793706794,0.4059999999999999,0.5940000000000001,0.49960000000000004,18.279999999999998
81,50,0.9676111448769669,0.7736494149126686,0.9213633654740325,0.5854967378627925,0.9989863587652953,0.901295121632306,649.3206049354288,1026.7605443708226,0.0033216962064,0.3234552904930618,0.0,22,28,0.44,41.007425575659305,42.26788431409298,40.52107878090289,0.4042,0.5958,0.49772,18.195999999999994
